s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,1.572,2.632,,,,
,,,,,,,1.576,2.616,,,,
,,,,,1.016,,,,,,,0.996
,,,,,,,,0.996,1.076,,,
,,,,,,1.38,,,,,4.08,
,,,,0.904,,,,,,2.744,,
,,,,,1.016,,,,,,,0.996
,,,,,,3.0,3.0,,,,,
,,,,,1.032,,0.992,,,,,
,,2.788,,1.068,,,,,,,,
,,,,,,1.428,,,,,4.048,
,,,,,,0.072,,,,4.952,,
,,,,3.28,,,1.92,,,,,
3.0,,,,,,,,,,,3.0,
,,1.1,,,,,,,,,,1.04
,,,,,,0.06,,,,4.96,,
,,,,,2.472,,,,,,0.632,
,,,,,1.032,,0.992,,,,,
1.732,,,,,,,,,1.752,,,
,,,,4.008,,1.488,,,,,,
3.0,,,3.0,,,,,,,,,
,,,,,,0.06,,,,4.96,,
,,,,,3.528,,,,,0.368,,
,,,0.68,,,,,,,2.74,,
3.0,,,,,,3.0,,,,,,
,1.652,,,,,,,,,,1.812,
,,,0.536,,2.856,,,,,,,
,,,,3.272,,,1.852,,,,,
1.044,,,,,,,,,,,,1.064
1.732,,,,,,,,,1.752,,,
,,,2.348,1.808,,,,,,,,
,,1.116,,,,,,1.016,,,,
,,,,,,,1.644,,,,2.724,
,,,0.088,,,,,,,4.828,,
,,3.176,,,,,,,,,0.496,
,3.0,,,,,,3.0,,,,,
,,,0.024,,,,,,4.904,,,
,,,,,1.096,,,0.976,,,,
,,,2.728,,,,,,,,1.228,
,,3.02,,0.88,,,,,,,,
,,,,,,,,1.116,,,,1.076
2.108,,,,,,,,,,2.128,,
,,,,,,,,,3.472,0.392,,
,,,,,,,1.02,,1.1,,,
,,,,,,3.0,,,,,3.0,
3.0,,,,,,,3.0,,,,,
,1.46,,,,,,,,,1.96,,
,,,2.336,,,,1.796,,,,,
,,,0.088,,,,,,,4.828,,
,,,,,,0.0,,,5.0,,,
1.912,,,,,,,,,1.912,,,
,,4.936,,,,0.096,,,,,,
,,,4.016,,,1.476,,,,,,
,0.996,,,,,,,,1.056,,,
1.936,,,1.956,,,,,,,,,
,,,2.728,,,,,,,,1.228,
,3.0,,,,,,3.0,,,,,
1.912,,,,,,,,,1.912,,,
,,,0.088,,,,,,,4.828,,
,,,,,,,2.34,,,,,2.8
,,2.016,,,,,,,,,,1.956
,,,,0.68,,,,2.96,,,,
,,,0.088,,,,,,,4.828,,
,3.0,,,,,,3.0,,,,,
,,,,1.468,,,,,,,,2.648
,,,,,,,,,,,1.496,2.376
,,,,,,,1.016,,1.116,,,
,,1.748,,,,,,,,,,1.828
,,,,,,0.0,,,5.0,,,
,,2.472,,,,,1.692,,,,,
,,,,,,,,0.976,1.096,,,
,,,,,1.016,,,,0.996,,,
2.476,,,,,,,,2.476,,,,
,3.0,,,,,,3.0,,,,,
,,2.636,,1.436,,,,,,,,
,,,4.008,,,1.488,,,,,,
,,,,,,0.072,,,,,,4.952
3.0,,,,,,,,,,,3.0,
,3.0,,,,,,,,,,3.0,
,,,,0.588,,,,,2.948,,,
,,,,,1.096,,,0.976,,,,
,1.38,,,,,,,2.24,,,,
,,,,,,,,,1.036,,,1.036
3.0,,,,,,3.0,,,,,,
2.104,,,,,,,,,,2.124,,
,,,,,1.016,,,,,,,0.996
,,,0.036,,4.856,,,,,,,
,,,,,,,,2.22,,,,1.44
1.008,,,,,,,,,1.028,,,
,,0.524,2.964,,,,,,,,,
,2.408,,,1.768,,,,,,,,
1.992,,,2.012,,,,,,,,,
,,,0.508,,2.968,,,,,,,
0.996,,,,,1.016,,,,,,,
,,,,0.72,,,,,,2.92,,
,,,,,,,,,,2.884,,0.604
,3.0,,,,,,,,,,3.0,
,0.988,,,,1.048,,,,,,,
,,,,0.512,2.952,,,,,,,
,,,,2.984,,,1.824,,,,,
,1.896,1.736,,,,,,,,,,
,,,,,,0.012,,4.992,,,,
,,2.752,,,,,,,,,0.852,
2.212,,,,2.232,,,,,,,,
,,,,1.344,,,,,,,,2.604
0.996,,,,,1.016,,,,,,,
2.184,,2.184,,,,,,,,,,
,,4.992,,,,0.012,,,,,,
1.76,,,,,,,,1.78,,,,
,,,,,,,1.5,,,4.0,,
2.124,,2.144,,,,,,,,,,
,,,,0.5,3.0,,,,,,,
1.992,,,2.012,,,,,,,,,
2.124,,2.144,,,,,,,,,,
,,,,,,0.012,,,4.992,,,
,,,2.7,,,,1.88,,,,,
,2.16,,1.9,,,,,,,,,
,,,3.008,,,,2.988,,,,,
,,,,,,,3.0,,,,3.0,
,,,,,,,,,2.96,,0.58,
,3.0,,,,,,3.0,,,,,
,0.988,,,,1.048,,,,,,,
,2.16,,1.9,,,,,,,,,
,,,,,,3.0,3.0,,,,,
,,,,,5.0,0.0,,,,,,
,,,,,,,,,2.564,0.864,,
