s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,,1.68,1.94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.652,2.552,
,,4.776,,,,0.156,,,,,,,,,,,,,,
0.996,,,,,,,,,1.016,,,,,,,,,,,
,0.02,,,,,,,,,,,,4.92,,,,,,,
,1.596,,,1.696,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,,,,,0.6,,
,,,,,,,,,1.012,,,,,,,,1.052,,,
,,,,0.428,,,,,,,,,3.288,,,,,,,
,,,,,,,,,,2.276,1.416,,,,,,,,,
,,,,,,0.924,,3.284,,,,,,,,,,,,
,,,,,,,,0.5,,,,,3.0,,,,,,,
,,,,,,,,,,,,,3.112,,,,,,,0.472
,,2.496,,,,,,,,,,,,,,0.716,,,,
,,3.02,,,,,,,,0.58,,,,,,,,,,
,,,,,,,,2.04,,,,,,,1.4,,,,,
,,,,,,,,1.316,,,,2.116,,,,,,,,
,,,,,,,,,,,,,,,,,2.6,0.62,,
,,,1.224,,,,,,,,,2.064,,,,,,,,
,1.468,,,,,,,,,1.848,,,,,,,,,,
,0.16,,,,,,,,,,,,,,,,,,4.68,
,2.508,,,,,,1.308,,,,,,,,,,,,,
,,3.072,,0.612,,,,,,,,,,,,,,,,
,,,,,,0.432,,,,3.392,,,,,,,,,,
,2.604,,,,,,,,,,,,,,,1.344,,,,
,,,2.68,,,1.36,,,,,,,,,,,,,,
,,,,,2.028,2.108,,,,,,,,,,,,,,
,,,,,,,,,,0.912,,,,,,,,,2.732,
,,,,,,,1.82,,,,,,,,,2.46,,,,
,,,,,1.396,,,,2.456,,,,,,,,,,,
,,0.992,,,,,,,,,,,,,,,1.072,,,
,,,,,,,,,,,,,,3.0,3.0,,,,,
,1.332,,,,,,,,,1.792,,,,,,,,,,
,,,,,,,,,,,,,,,,0.976,,2.496,,
,,,,,,,,,,,,,,1.44,,,,,,4.04
,,,,,,,2.072,,,,,,,,,,,,,2.392
,,,,,,,,,,1.552,,2.092,,,,,,,,
,,2.412,,,,,0.812,,,,,,,,,,,,,
,,,,0.64,,,,,,3.06,,,,,,,,,,
,,,,,,,1.776,,2.416,,,,,,,,,,,
,,2.84,,,,,,,,0.76,,,,,,,,,,
,,,,,0.016,,,,,,,,4.936,,,,,,,
