s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,1.744,2.844,,,,
,,,,,,1.512,,,3.992,,,
2.648,,,,,,,,,2.668,,,
,,,,,,,,,,,2.056,1.676
,,,,,1.064,,,,,0.984,,
,,,,,,,,1.848,,,,1.788
,,2.432,,1.812,,,,,,,,
,,,,4.016,,1.476,,,,,,
,,,,,,,,1.848,,,,1.788
,,,2.284,,,,,,,,,1.684
,,,,,,0.048,,,,,4.968,
,,,1.756,,,,,,,,1.836,
,,,,,,0.048,,,,,4.968,
2.272,,,,2.292,,,,,,,,
3.0,,,,,,,3.0,,,,,
,,,,,,0.048,,,,,4.968,
,,,,,,,,1.592,,1.572,,
,,,,0.508,2.968,,,,,,,
,,,,1.136,,,,2.776,,,,
,,3.404,,,,,2.144,,,,,
1.76,,,,,,,,,,1.78,,
,,1.724,,,,,,1.764,,,,
,,,,4.008,,1.488,,,,,,
,,,,,,2.988,,,,,,3.008
2.252,,,,,,,,,,,2.272,
3.0,,,,,,,3.0,,,,,
2.236,,2.236,,,,,,,,,,
,,,2.572,1.612,,,,,,,,
,,,,,,,,,0.912,2.852,,
,,1.736,2.116,,,,,,,,,
,1.452,,,,,,,1.592,,,,
,,0.404,,,3.384,,,,,,,
,,,,,,1.488,,4.008,,,,
,,,,1.192,,,,,,2.872,,
,1.452,,,,,,,1.592,,,,
,3.448,,,,,2.328,,,,,,
,,1.924,,,,,,,1.944,,,
,,,,1.556,,,,,,,2.516,
,,2.532,,1.612,,,,,,,,
,,,,,,3.0,3.0,,,,,
,,,,,,1.512,,,3.992,,,
,,1.856,,,,,,,,1.876,,
,,,,,,2.988,,,,,,3.008
2.8,,,,,,,,,2.8,,,
,,,,,,,,2.344,1.544,,,
,,,,,,0.048,,,,,4.968,
,,1.212,,,,,,2.272,,,,
,,,,3.984,,1.524,,,,,,
,,0.484,,,3.064,,,,,,,
1.76,,,,,,,,,,1.78,,
,,,1.756,,,,,,,,1.836,
2.02,,,,,,,,,,,,2.04
,3.672,,,,,,1.992,,,,,
1.912,,,,,,,,1.932,,,,
,,,,,,,,,,1.5,,1.42
2.224,,,,2.244,,,,,,,,
2.252,,,,,,,,,,,2.272,
,,,,1.58,,,,2.62,,,,
,,,,,,,,,0.912,2.852,,
,,2.288,,2.008,,,,,,,,
,,,2.592,1.632,,,,,,,,
,,,,,,,1.796,,,,3.116,
,,,2.252,,,,,,1.632,,,
,,,1.724,,,,,1.944,,,,
,,,2.26,,,,,,,,,1.72
,,1.212,,,,,,2.272,,,,
,,,,,,0.0,,,,5.0,,
,,,,1.372,,,,2.692,,,,
,,2.564,,1.604,,,,,,,,
,,,,,,,,2.076,,,,1.696
,,,1.74,,,,,1.98,,,,
,,,,,,,1.512,,3.992,,,
,,,,,5.0,0.0,,,,,,
,,,,,1.064,,,,,0.984,,
,,,4.896,,,0.156,,,,,,
,3.672,,,,,,1.992,,,,,
2.888,2.888,,,,,,,,,,,
1.72,,,1.72,,,,,,,,,
,,,,0.56,2.76,,,,,,,
2.02,,,,,,,,,,,,2.04
,,,,,,,,,,,2.064,1.944
,,,,,,,,,,,1.996,2.056
,,,,,2.44,,,,,,0.64,
,,1.752,1.892,,,,,,,,,
,,,2.284,,,,,,,,,1.684
0.996,,,,,1.016,,,,,,,
,,,,1.824,,,,,,,2.304,
,,,,,,1.416,,4.056,,,,
,,,,3.076,,,1.856,,,,,
,,,,,,3.0,3.0,,,,,
2.216,,,,,,,,,,,2.216,
