s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
,,,10.0,10.0,1.88,10.0,10.0,2.48,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
,,,,,,10.0,10.0,0.98,10.0,10.0,2.53
,,,10.0,10.0,2.19,10.0,10.0,2.14,,,
10.0,10.0,2.15,10.0,10.0,2.2,,,,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
,,,10.0,10.0,1.87,10.0,10.0,2.52,,,
10.0,10.0,2.94,,,,,,,10.0,10.0,2.94
,,,,,,10.0,10.0,0.98,10.0,10.0,2.53
,,,10.0,10.0,1.19,,,,10.0,10.0,2.74
,,,10.0,10.0,2.04,10.0,10.0,2.39,,,
,,,10.0,10.0,1.93,10.0,10.0,2.18,,,
,,,10.0,10.0,1.12,,,,10.0,10.0,2.67
,,,10.0,10.0,0.92,,,,10.0,10.0,2.72
,,,,,,10.0,10.0,1.22,10.0,10.0,2.72
,,,10.0,10.0,1.47,,,,10.0,10.0,2.32
,,,,,,10.0,10.0,1.22,10.0,10.0,2.72
10.0,10.0,2.04,10.0,10.0,2.09,,,,,,
,,,,,,10.0,10.0,1.22,10.0,10.0,2.72
,,,10.0,10.0,1.16,,,,10.0,10.0,2.51
10.0,10.0,2.37,10.0,10.0,2.37,,,,,,
,,,10.0,10.0,1.58,10.0,10.0,2.73,,,
10.0,10.0,2.82,,,,,,,10.0,10.0,2.82
,,,10.0,10.0,1.05,,,,10.0,10.0,2.7
,,,10.0,10.0,2.17,10.0,10.0,2.12,,,
,,,10.0,10.0,1.84,10.0,10.0,2.44,,,
10.0,10.0,2.89,,,,,,,10.0,10.0,2.89
10.0,10.0,2.27,10.0,10.0,2.27,,,,,,
,,,10.0,10.0,0.91,,,,10.0,10.0,2.81
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,2.89,,,,,,,10.0,10.0,2.89
10.0,10.0,2.89,,,,,,,10.0,10.0,2.89
10.0,10.0,2.89,,,,,,,10.0,10.0,2.89
10.0,10.0,2.89,,,,,,,10.0,10.0,2.89
,,,10.0,10.0,1.08,,,,10.0,10.0,2.83
,,,10.0,10.0,1.75,10.0,10.0,2.25,,,
,,,,,,10.0,10.0,1.25,10.0,10.0,1.9
,,,,,,10.0,10.0,1.25,10.0,10.0,1.9
10.0,10.0,2.13,10.0,10.0,2.13,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.67,,,,,,,10.0,10.0,2.67
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
,,,,,,10.0,10.0,1.31,10.0,10.0,1.96
,,,10.0,10.0,1.61,10.0,10.0,2.66,,,
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
,,,10.0,10.0,0.9,,,,10.0,10.0,3.0
,,,10.0,10.0,1.62,10.0,10.0,2.47,,,
,,,,,,10.0,10.0,1.31,10.0,10.0,1.96
,,,,,,10.0,10.0,1.31,10.0,10.0,1.96
10.0,10.0,2.18,10.0,10.0,2.23,,,,,,
,,,10.0,10.0,1.85,10.0,10.0,2.4,,,
10.0,10.0,2.29,10.0,10.0,2.29,,,,,,
,,,,,,10.0,10.0,1.31,10.0,10.0,1.96
10.0,10.0,2.25,10.0,10.0,2.25,,,,,,
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
